name,ratings,number of ratings,price
"Samsung Galaxy Tab A 8.4"", 32GB, Mocha (LTE Verizon & WIFI) - SM-T307UZNAVZW (2020) US Model & Warranty",4.5 out of 5 stars,277,263.49
"VANKYO MatrixPad S30 10 inch Octa-Core Tablet, 3GB RAM, 32GB Storage, 1080P Full HD Display, Android OS, 13MP Rear Camera, Bluetooth 5.0, 5G Wi-Fi, GPS, Silver",4.4 out of 5 stars,"2,732",Price not found
Kids Tablet 7 inch Toddler Tablet for Kids Edition Tablet with WiFi Dual Camera Children’s Tablet for Toddlers 32GB Android 10 with Parental Control Shockproof Case Google Play YouTube Netflix (Blue),4.1 out of 5 stars,"1,309",Price not found
"TECLAST M40 Gaming Tablet 10 inch 6GB RAM 128GB ROM, 2.0Ghz Octa-Core CPU, Android Tablet, 5MP+8MP Camera, 1920x1200 FHD IPS, Bluetooth 5.0 Type-C 5G WiFi GPS",4.1 out of 5 stars,120,Price not found
"Android Tablet 10 Inch, 1080p Full HD Display, 1920x1200 IPS Touchscreen, Octa-Core Processor, 4GB RAM, 64GB Storage, 128GB Expand, 5G/2.4G WiFi, 8MP+2MP Camera, GPS, Bluetooth 5.0, FM, Metal Body",4.2 out of 5 stars,290,Price not found
"VANKYO MatrixPad S7 7 inch Tablet, Android OS, 2GB RAM, 32GB Storage, 5MP Rear Camera, Quad-Core, IPS HD Display, FM, GPS, Wi-Fi Only, Black",4.2 out of 5 stars,"2,528",Price not found
"Pritom 7 inch Kids Tablet, Quad Core Android 10, 16GB ROM, WiFi, Bluetooth, Dual Camera, Educationl, Games, Parental Control, Kids Software Pre-Installed with Kids-Tablet Case (Light Pink)",3.8 out of 5 stars,"1,090",Price not found
"VANKYO MatrixPad S8 8 inch Kids Tablet, 2GB RAM, 32GB ROM, Kidoz Pre Installed, 8"" IPS HD Display, Android OS, WiFi Tablet, Kid-Proof, Dual Camera, GPS, FM, Blue",4.5 out of 5 stars,"1,216",Price not found
"Samsung Galaxy Tab Active PRO 10.1"" | 64GB & WiFi Water-Resistant Rugged Tablet, Black – SM-T540NZKAXAR",4.6 out of 5 stars,175,563.99
"RCA Voyager 7” Android 10 Tablet w/Google Play, 16GB Storage, 2GB RAM, WiFi, Camera (RCT6876Q22N00)",3.8 out of 5 stars,531,59.99
"SAMSUNG Galaxy Tab A (2019,Wi-Fi) SM-T510 32GB 10.1"" Wi-Fi only Tablet - International Version (Black)",4.7 out of 5 stars,"4,478",Price not found
"VANKYO MatrixPad S20 10 inch Tablet, Octa-Core Processor, 3GB RAM, 32GB ROM, Android OS, IPS HD Display, Bluetooth 5.0, 5G WiFi, GPS, USB C,Metal Body, Gray",4.5 out of 5 stars,"1,461",Price not found
"VANKYO MatrixPad S8 Tablet 8 inch, Android OS, 2 GB RAM, 32 GB Storage, IPS HD Display, Quad-Core Processor, Dual Camera, GPS, FM, Wi-Fi, Black",4.3 out of 5 stars,"2,125",Price not found
"VANKYO MatrixPad Z1 Upgrade 7 inch Tablet, Android 10, 32GB Storage, Quad-Core Processor, IPS HD Display, Wi-Fi, Bluetooth, Black",4.0 out of 5 stars,"1,143",Price not found
"Dragon Touch Notepad K10 Tablet, 10 inch Android Tablet, 2GB RAM 32GB Storage, Quad-Core Processor, 10.1 IPS HD Display, Micro HDMI, Android 9.0 Pie, 5G WiFi, Metal Body Black",4.4 out of 5 stars,"7,640",Price not found
"Samsung Galaxy Tab A 8.0"" Tablet (Latest Model), 32GB, Wi-Fi, Android 9.0 Pie, Bluetooth, Bundled with Ghost Manta Accessories (W/GM 64GB MSD Card, Silver)",4.5 out of 5 stars,"1,225",159.99
"Tablet 10 inch Android Tablet, Android 10.0 Tablet Quad-Core Processor 32GB Storage Tablet Computer, 2GB RAM, 8MP Camera, Long Battery Life, Black",4.1 out of 5 stars,87,Price not found
"Tablet 10 inch Android Tablet, Quad-Core Processor 32GB Storage, Dual Sim Card, WiFi, Bluetooth, GPS, 128GB Expand Support, IPS Full HD Display (Black)",4.1 out of 5 stars,158,Price not found
"Android Tablet 10 Inch 2021, 32GB Storage, WiFi Tablets with Android 10.0 OS, 5MP Rear Camera, WiFi, Bluetooth, GPS, Google Certified, HD IPS Screen – Black",3.9 out of 5 stars,"1,308",Price not found
"Dragon Touch KidzPad Y88X Kids Tablet with 2GB RAM 32GB ROM, 7 inch IPS HD Display, Android 10.0, Quad Core Processor, Kidoz Pre Installed with Disney Contents, Kid-Proof Case, Wi-Fi only",4.7 out of 5 stars,69,Price not found
"Android 10.0 Tablet : MEBERRY 10"" Ultra-Fast 4GB/RAM,64GB/ROM Tablets-8000mAh Battery-WiFi Support - Bluetooth Keyboard | Mouse | M7 Tablet Cover and More Include - Blue",4.5 out of 5 stars,"2,545",Price not found
"Dragon Touch K10 Tablet, 10 inch Android Tablet with 16 GB Quad Core Processor, 1280x800 IPS HD Display, Micro HDMI, GPS, FM, 5G WiFi (Silver)",4.4 out of 5 stars,"7,819",Price not found
"Dragon Touch Y88X Pro 7 inch Kids Tablets, 2GB RAM 16GB ROM, Android 9.0 Tablet, Kidoz Pre Installed with Disney Contents (More Than $80 Value), Pink",4.2 out of 5 stars,"11,695",Price not found
"VANKYO MatrixPad P31 10.1 inch Octa-Core Tablet, 4GB RAM, 64GB Storage, Android 10, 1080P Full HD Tablet with Keyboard and Stylus, 13MP Rear Camera, Bluetooth 5.0, 5G Wi-Fi, GPS, Black",4.5 out of 5 stars,438,Price not found
"Samsung Galaxy Tab A7 10.4"" 2020 (64GB, 3GB) Wi-Fi Only Android 10 One UI Tablet, Snapdragon 662, 7040mAh Battery, SM-T500 (64GB SD Bundle, Dark Gray)",4.7 out of 5 stars,286,258.0
"Samsung Galaxy Tab A 10.1"" (2019, WiFi + Cellular) Full HD Corner-to-Corner Display, 32GB 4G LTE Tablet & Phone (Makes Calls) GSM Unlocked SM-T515, International Model (32 GB, Gold)",4.5 out of 5 stars,"2,325",256.99
"2021 New 10 inch Tablet 5G+2.4G WiFi, Octa-Core Tablet, Android 9.0 Pie, 3GB RAM, 32GB ROM, IPS Full HD1920x1200 Display, 5G WiFi, Frosted Metal Body (Black)",4.3 out of 5 stars,311,Price not found
"SAMSUNG Galaxy Tab Active2 8"" Ruggedized Tablet Wi-Fi 16GB, Black (SM-T390NZKAXAR)",4.5 out of 5 stars,125,405.75
"Dragon Touch KidzPad Y88X 7 Kids Tablet with WiFi, Android 10, 7” IPS HD Display, 32GB ROM, KIDOZ Pre-Installed, with Disney Authorized Contents, Kid-Proof Case, Shoulder Strap and Stylus, Pink",4.5 out of 5 stars,"1,921",Price not found
"Tablet 10.1 Inch Android 9.0 3G Phone Tablets with 2GB RAM+32GB ROM Dual Sim Card 2MP+ 5MP Camera, WiFi, Bluetooth, GPS, Quad Core, HD Touchscreen, Support 3G Phone Call (Black)",4.0 out of 5 stars,"2,623",Price not found
"MARVUE Pad M10 Tablet 10.1 Inch Android 10.0 Tablets 2GB RAM 32GB ROM Storage, 2MP+8MP Dual Camera, 2.4GHz WiFi, 1.6GHZ Quad Core Processor,10.1"" IPS HD Android Tablet, Metal Body(Black)",4.6 out of 5 stars,191,Price not found
"2021 Samsung Galaxy Tab A7 10.4’’ (2000x1200) TFT Display Wi-Fi Tablet Bundle, Qualcomm Snapdragon 662, 3GB RAM, 64GB Storage, Bluetooth, Dolby Atmos Audio, Android 10 OS + Oydisen 64GB SD Card",4.5 out of 5 stars,46,279.99
"Arknikko SophPad X11 Kids Tablet 7 inch, Android 10 Quad-Core, 2 GB RAM 32 GB Storage, Kidoz Pre-Installed & Parent Control, IPS HD Display, WiFi Tablet, Dual Cameras, Kid-Proof Case (Baby Pink)",4.4 out of 5 stars,168,Price not found
"Dragon Touch MAX10 Plus Tablet, Quantum Dot Resolution, Octa Core Processor, 3GB RAM 32GB Storage, Android 10.0, 10.1 inch 1920x1200 FHD Screen, Wide Color Gamut Display, Eye Care, Black",4.6 out of 5 stars,269,Price not found
"BOOX Max Lumi 13.3 ePaper, Front Light, Android 10, Fingerprint Recognition, 207dpi, BT 5.0 Digital Paper 4G 64G",4.3 out of 5 stars,70,Price not found
"Android 10 Tablet with Case 3GB RAM 32GB Storage WiFi Tablets 10 Inch Voice Control with Google Assistant, Dual Speakers, Dual Cameras, Black",4.0 out of 5 stars,206,Price not found
"Dragon Touch KidzPad Y88X Kids Tablet with 2GB RAM 32GB ROM, 7 inch IPS HD Display, Android 10.0, Quad Core Processor, Kidoz Pre Installed with Disney Contents, Kid-Proof Case, Wi-Fi only",4.4 out of 5 stars,16,Price not found
"VANKYO MatrixPad Z1 Kids Tablet 7 inch, 32GB ROM, Kidoz Pre Installed, IPS HD Display, WiFi Android Tablet, Kid-Proof, Blue",3.9 out of 5 stars,"4,788",Price not found
Kids Tablet Toddler Tablet for Kids WiFi Android 32GB Kids Tablets 4000mAh HD Display Kids Learning Educational APP Pre-Installed Parental Control Kid-Proof Case with Handles (Rosered1),3.8 out of 5 stars,442,Price not found
"Dragon Touch K10 Tablet, 10 inch Android Tablet with 16 GB Quad Core Processor, 1280x800 IPS HD Display, Micro HDMI, GPS, FM, 5G WiFi, Black Metal Body",4.4 out of 5 stars,"4,716",Price not found
"VANKYO MatrixPad S21 10 inch Octa-Core Tablet, Android OS, 2GB RAM, 32GB ROM, IPS HD Display, Bluetooth 5.0, 8MP Rear Camera, 5G WiFi, USB C, GPS, Metal Body",4.5 out of 5 stars,981,Price not found
"Samsung Galaxy Tab S5e- 10.5"" 64GB, LTE Unlocked- SM-T727UZKAXAA, Black",4.7 out of 5 stars,"2,938",439.21
"Kids Tablet 7 Android Kids Tablet Toddler Tablet Kids Edition Tablet with WiFi Dual Camera Childrens Tablet 1GB + 32GB Parental Control, Google Play Store (Green)",3.7 out of 5 stars,"5,406",Price not found
Tablet 8-Inch Android 10.0 - Winnovo M8 Quad Core Processor 32GB Storage HD IPS Display Gravity Sensor Bluetooth WiFi GPS FM (Black),3.2 out of 5 stars,53,Price not found
"Tablet 10 Inch Android 9 HD Dual Sim Tablets with Quad Core, 32GB ROM /128 GB Expand, 3G Phone Call, WiFi, Bluetooth, Dual Camera, GPS, IPS Touchscreen, GMS Google Certified Tablet PC, (Black)",4.0 out of 5 stars,623,Price not found
"TJD 7 inch Tablet for Kids, Android 10.0 Kids Tablet with Educational Learning Software Pre-installed, Parent Control, Quad-Core Wi-Fi Bluetooth Dual Cameras Silicon Case for Boys Girls MT-762QU Green",3.0 out of 5 stars,50,Price not found
"Jumper Touchscreen Laptop, 11.6 inch Full HD Small Laptop, 6GB RAM, 128GB eMMC 360 Degree Convertible Tablet PC Windows 10 Ultrabook PC Intel Celeron Quad Core Processor",3.9 out of 5 stars,728,Price not found
"HAOVM 7inch Android Tablet, Android 10.0 Android Q Mediapad P7, Quad-Core 1.4GHz Processor, 32GB Storage, Dual Camera, 1024x 600 IPS HD Display, GPS, FM, BT4.2, 5.0 WiFi Tablet Non-Scratch Glass Back",3.9 out of 5 stars,156,Price not found
"PRITOM 10 inch Tablet, 3 GB RAM, 32GB ROM, Android 10.0, IPS HD Display, Octa-core Processor, GPS, FM, Type-C, WiFi 2.4&5G, Double Speakers-Android Tablet",4.1 out of 5 stars,194,Price not found
"Android Tablet Pritom 8 inch Android 9.0 Pie Tablet, 2GB RAM, 32GB ROM, Quad Core Processor, HD IPS Screen, 2.0 Front + 8.0 MP Rear Camera, Wi-Fi, Bluetooth, Tablet PC(Black)",4.1 out of 5 stars,341,Price not found
"MARVUE M10 Tablet, 10.1 inch Android Tablet, 2GB RAM 32GB ROM Storage, 2+8MP Dual Camera, 800x1280 IPS HD Display, Quad Core Processor Android 10.0, WiFi, USB Type C Port, Metal Body",4.6 out of 5 stars,86,Price not found
"Venturer 14"" Luna Max Quad-Core 3GB RAM 64GB Storage IPS 1920 x 1080 FHD Touchscreen WiFi Bluetooth with Detachable Keyboard Android 10 Tablet",4.2 out of 5 stars,74,Price not found
"Android 10 Tablet Facetel Q3 Pro 10 inch Tablets: Octa-Core Processor, 3 GB RAM 32 GB Storage 128GB Extended Memory, Google GMS, Wi-Fi, Bluetooth, GPS, Keyboard & Mouse, Metal Grey",4.4 out of 5 stars,"1,050",Price not found
"Lenovo Smart Tab M10 Plus, FHD 10.3"" Android Tablet, Alexa-Enabled Smart Device, Octa-Core Processor, 32GB Storage, 2GB RAM, Wi-Fi, Bluetooth, ZA6M0030US, Platinum Grey",4.1 out of 5 stars,488,155.99
"RCA Newest Best Performance Tablet Quad-Core 2GB RAM 32GB Storage IPS HD Touchscreen WiFi Bluetooth with Detachable Keyboard Android 9 Pie (10"", Charcoal)",4.2 out of 5 stars,604,Price not found
"Pritom Kids Tablet, 32 GB ROM, Quad Core Processor, HD IPS Display, WiFi 7 inch Android Tablet, Kid-Proof with Kids Tablet Case",4.1 out of 5 stars,442,Price not found
"Lenovo Yoga Smart Tab, 10.1"" FHD Android Tablet, Octa-Core Processor, 64GB Storage, 4GB RAM, Iron Grey, ZA3V0005US",4.6 out of 5 stars,200,232.0
"Delphin Waterproof Micro Tablet Compatible with Audible and More, Plus Built in Lap Tracking! (8GB, Swimbuds Sport)",3.5 out of 5 stars,348,Price not found
"AEEZO Tablet 7 inch - Android 10 Tablets, 1080P FHD Display, 2GB RAM, 32GB Storage, Quad-Core Processor, 2MP+5MP Camera, Wi-Fi, Bluetooth, Black",4.0 out of 5 stars,121,Price not found
"Tablet 10.1 inch Android 10 Go Tablet, Quad-core, 1.5GHz, 1GB RAM, 16GB Flash, 1024x600 LCD Display, 0.3MP and 2MP Camera, 2.4G WiFi, Bluetooth 4.0, 5000mAh Battery Capacity, Black",4.1 out of 5 stars,185,Price not found
"Tablet 10 inch, Android 8.1 Tablets PC, 16GB, 5G WiFi and Dual Camera, Support Wireless Keyboard, GPS, Bluetooth, 1280x800 IPS Display, Google Certified Tablets - Black",3.9 out of 5 stars,"3,113",Price not found
"Tablet 10 inch, High Performance 2 in 1 Android 9.0 Tablets with Keyboard Case & Mouse, 3GB RAM 64GB Storage, Quad Core, Dual Sim Card, 4G WiFi, 8MP Camera, 8000 mAh, FM, GPS, Bluetooth - Pink",3.9 out of 5 stars,664,Price not found
"10"" Tablet with 2GB RAM 32GB Storage Android 9.0 Pie, 10.1 inch IPS HD Display, Android Tablet with Case/Stylus, Quad-Cord Processor, Wi-Fi, Bluetooth",3.6 out of 5 stars,45,Price not found
"Tablet 10.1 inch Android Tablet with 32GB Storage, 3G Phone Tablets & Dual Sim Card & 5MP Dual Camera, Quad Core Processor, 1280x800 IPS HD Display,GPS,FM，Bluetooth(Silver)",3.9 out of 5 stars,580,Price not found
"Dragon Touch KidzPad Y88X 10 Kids Tablets - Installed Disney Audio Books, 2GB RAM 32GB ROM, Quad-Core Processor, 10.1 IPS HD Display, Micro HDMI, Android 9.0 Pie, 5G WiFi, HDMI Port, Straps and Stylus",4.7 out of 5 stars,717,Price not found
"Kids Tablet 7 Inch WiFi Android 10 Tablet PC 2021 New IPS HD Screen, 2GB RAM 32GB ROM, Parental Control,Kid-Proof Case with Stand, Blue",4.5 out of 5 stars,56,Price not found
"Tablets, Android Tablet 8 inch, Android 10.0 Tablet 2GB RAM, 32GB Storage Quad-Core Processor Kids Tablet PC Tab (Black)",4.3 out of 5 stars,25,Price not found
"AVITA Magus II 10.1"" HD Tablet with Detachable Keyboard, Windows 10, Intel Processor, 4GB Ram & 64GB Storage (Blue)",4.1 out of 5 stars,370,Price not found
"Surfans Kids Tablet, 7 inch IPS FHD Display, 2GB RAM, 32GB ROM, WiFi Android Tablets for Kids with Kids-Proof Case …",3.7 out of 5 stars,476,Price not found
Kids Tablet 7 inch 2021 WiFi Android 10 Tablet PC New FHD 1920x1200 IPS Screen 2GB RAM 32G ROM,4.0 out of 5 stars,"1,206",Price not found
"Tablet 10 Inch, Android 10.0 Tablets 2021 with 32GB Storage and Dual Camera, 1280x800 IPS Touchscreen, 6000mA Battery, Support Microsoft Office Software, Wi-Fi, Bluetooth 4.2, GPS, Black",4.0 out of 5 stars,15,Price not found
2020 Samsung Galaxy Tab A7 10.4” Inch 32 GB Wi-Fi Android 10 Touchscreen International Tablet (Gray) Bundle – Slim Trifold Hard Shell Case and 32GB Micro SD Card,4.7 out of 5 stars,393,259.99
"Kids Tablet PC, Veidoo Premium 7 inch Android Tablet PC, 1GB/16GB, Safety Eye Protection Screen, Parental Control APP, Best Gifts for Kids (Pink)",3.9 out of 5 stars,"1,584",Price not found
"RCA (RCT6973W43MDN) 7"" Voyager III Android Tablet - Dual Cameras and Google Play - (16GB, Black)",3.5 out of 5 stars,457,Price not found
MobileDemand Flex 10B Rugged Touchscreen Tablet | Ultra Lightweight | 10.1-in Display | Windows 10 Pro | MIL-STD-810G |3000mAh Battery| Quad Core Celeron N4100 for Enterprise Mobile Field Work,4.3 out of 5 stars,34,595.0
"G PAD 5 10.1IN 32GB 4G LTE BLK Unlock, LM-T600QSCCASV",4.6 out of 5 stars,232,239.0
"SAMSUNG Galaxy Tab A- 10.1"" 64GB, Wifi Tablet- SM-T510NZKFXAR Black",4.7 out of 5 stars,"16,389",Price not found
"VANKYO MatrixPad S20 Tablet 10 inch, Octa-Core Processor, 3GB RAM, 64GB ROM, Android OS, IPS HD Display, Bluetooth 5.0, 5G WiFi, GPS, USB C,Metal Body, Gray",4.5 out of 5 stars,281,Price not found
"Android 10.0 Pie Tablet 10 Inch,HAOVM MediaPad P10 Tablets Octa-Core 1.6GHz Processor,3GB RAM,32GB Storage,10.1"" IPS HD Display Screen,5G WiFi,128GB Expand,6000mAh,GPS,Type-C Port,Brushed Texture Back",4.6 out of 5 stars,19,Price not found
"Pritom TronPad L10 Tablet - 10'' Android 10.0 Tablet, Octa-Core Processor, HD IPS Display, 6000mAh Battery, 3G RAM, 32G Storage, 5G&2.4G WiFi, GPS, Dual Camera & Double Speakers, USB C, Silver",4.2 out of 5 stars,393,Price not found
"RCA Newest Best Performance Tablet Quad-Core 2GB RAM 32GB Storage IPS HD Touchscreen WiFi Bluetooth with Detachable Keyboard Android 9 Pie (10"", Lavender)",4.3 out of 5 stars,872,119.99
"Kids Tablet,7 inch Android 9.0 Kids Edition Tablet with WiFi,GMS Certified, 2GB+16GB Tablet for Kids,Children Tablet with Parental Control, 40+APP Pre-Installed and Kids-Proof Case",3.7 out of 5 stars,41,Price not found
"Samsung Galaxy Tab A7 10.4"" (32GB, 3GB, WiFi + Cellular) 4G LTE Tablet GSM Unlocked (Global, T-Mobile, AT&T, Metro) International Model SM-T505 (64GB SD Bundle, Silver)",4.1 out of 5 stars,28,247.13
"Android 10.0 Tablet : MEBERRY 10 inch Tablets with 4GB RAM+64GB ROM| 128GB Expansion| Octa-Core Processor| Google Certified| 8000mAh Battery| WiFi| GPS| Double Camera, Grey",4.4 out of 5 stars,294,Price not found
qunyiCO 7 inch Kids Tablet 32GB Android 10.0 WiFi Camera Bluetooth 2GB RAM HD Touch Screen 1024x600 Kid-Proof Case Parental Control Learning App on Google Certified Playstore Blue,4.0 out of 5 stars,326,Price not found
"TRIPLTEK Tablet 7"" PRO 8GB RAM High Brightness 1200 nits, 4G LTE Unlocked, 8 Core Processor 128GB, Android 9, Long Battery Life 10000mah, Rugged Military Construction, Brightest Tablet on The Market.",4.3 out of 5 stars,73,680.0
"Tablet 8 inch, Android 10.0, 2GB RAM 32GB ROM, 3G LTE Phone Tablet, Quad-Core Processor,1280x800 HD IPS Touch Screen,8MP+5MP Dual Camera,Wi-Fi,Bluetooth,GPS(Golden, Metal Material)",4.2 out of 5 stars,321,Price not found
"VANKYO MatrixPad S7 Kids Tablet 7 inch IPS HD Touch Screen, 2GB RAM 32GB ROM, Kidoz Pre Installed, Android OS, WiFi, Kid-Proof, 5MP Camera, w/Stylus, Blue",4.5 out of 5 stars,638,Price not found
"Voger PriorPad X100 Tablet 10 inch, Android 10.0, 2GB RAM 32GB Storage, 2MP+8MP Dual Camera, 1280x800 IPS HD Display, Dual-WiFi Support, Bluetooth, Google GMS Certified, Quad-Core Processor (Black)",4.1 out of 5 stars,236,Price not found
"Tablet for Kids 7 inch Kids Tablet, 2GB RAM 16GB ROM, Android 9.0 Tablet, Parent Control, IPS HD Display, Kid-Proof, WiFi, Google Certified Playstore, Android Tablet, Rose",3.9 out of 5 stars,120,Price not found
"Android 10.0 Tablet, Vastking Kingpad SA10 Octa-Core Processor, 3GB RAM, 32GB Storage, 10-inch, 1920x1200 IPS, 5G Wi-Fi, GPS, 13MP Camera, Bluetooth, Blue Light Filter Screen, Silver Grey",4.4 out of 5 stars,397,Price not found
"BOOX Nova3 Color 7.8 ePaper Color Digital Paper Tablet Cold Light Only,100DPI Color Mode, 300DPI B/W Mode",0,0,Price not found
"ZONKO Tablet 10 inch 4G Phone Tablet with Dual Sim Card Slot Android 10 Tablet PC, 4GB+64GB Storage Octa-Core Processor,13MP Dual Camera, WiFi Tablet with Keyboard, Wireless Mouse, Stylus(Grey)",4.3 out of 5 stars,60,Price not found
"Samsung Galaxy Tab A7 10.4"" 2020 (32GB, 3GB) Wi-Fi Only Android 10 One UI Tablet, Snapdragon 662, 7040mAh Battery, SM-T500 (US Model, 64GB SD Bundle, Dark Gray)",4.9 out of 5 stars,12,Price not found
